Title,StandardText,Category,Specialty,SourceCitation,MapsTo,Status,ValidatedBy,ValidatedDate
DOC-001,Note completed and signed within 3 business days of encounter,Documentation,Universal,DHA FPPE Template Sec 3.I; DHA OPPE Template Sec III.F,FPPE-3I;OPPE-IIIF,ACTIVE,,
DOC-002,"Record entry is timely, clear, legible, and complete (including consults)",Documentation,Universal,DHA FPPE Template Sec 4 Interpersonal & Communication Skills A,FPPE-4-ICS;OPPE-IVF,ACTIVE,,
DOC-003,Documentation supports the billed/coded level of care and is pertinent to the encounter,Documentation,Universal,DHA OPPE Template Sec IV.F (record pertinence review),OPPE-IVF;OPPE-IVG;OPPE-IVH,ACTIVE,,
CC-001,Clinical problem solving is effective and appropriate for the presentation,ClinicalCare,Universal,DHA FPPE Template Sec 4 Patient Care A,FPPE-4-PC;455-I13,ACTIVE,,
CC-002,Care within the applicable standard of care for the presenting condition,ClinicalCare,Universal,DHA FPPE Template Sec 3.L construct,FPPE-3L;455-I11:standardofcare,ACTIVE,,
CC-003,Evidence-based data used in clinical decisions; current/appropriate techniques and treatments,ClinicalCare,Universal,DHA FPPE Template Sec 4 Professional Knowledge A and C,FPPE-4-PK,ACTIVE,,
MED-001,Medication selection dose duration and monitoring appropriate for indication and patient,MedicationUse,Universal,DHA FPPE Template Sec 3.E; DHA OPPE Template Sec IV.E,FPPE-3E;OPPE-IVE;455-I11:medication,ACTIVE,,
BLD-001,Blood/blood component use appropriate (or NA),BloodUse,Universal,DHA FPPE Template Sec 3.J; DHA OPPE Template Sec IV.D,FPPE-3J;OPPE-IVD;455-I11:blood,ACTIVE,,
CON-001,Consults/referrals used consistent with the standard of care; specialty involvement timely,ConsultsReferrals,Universal,DHA FPPE Template Sec 4 Patient Care C,FPPE-4-PC;455-I11:consults,ACTIVE,,
COM-001,"Communicates information effectively to staff, patients, and families; caring and respectful conduct documented",Communication,Universal,DHA FPPE Template Sec 4 ICS B and Patient Care B,FPPE-4-ICS,ACTIVE,,
SYS-001,Cooperates in ongoing process improvement and compliance with national measures,SystemsPractice,Universal,DHA FPPE Template Sec 4 PBLI A-B,FPPE-4-PBLI,ACTIVE,,
MSR-001,Encounter falls within the provider's granted clinical privileges / scope of utilization,MedStaffRule,Universal,DHA-PM 6025.13 Vol 8 (scope of utilization); local privileging list,455-I13;DASH-ONLY,ACTIVE,,
MSR-002,Supervision requirements met where privileges are supervised (co-signature/preceptor involvement documented),MedStaffRule,Universal,DHA-PM 6025.13 Vol 8; BUMEDNOTE 6000 (supervised privileges),455-I13;DASH-ONLY,ACTIVE,,
DBR-001,Telemedicine encounter reviewed under distant-site monitoring responsibility (random-sample eligible),DHABusinessRule,Universal,DHA-PM 6025.13 Vol 8 Encl 3 para 2.h (Telemedicine),DASH-ONLY,ACTIVE,,
DBR-002,Adverse event or patient safety event identified in this encounter reported through the safety/incident channel,DHABusinessRule,Universal,DHA OPPE Template Sec VI.C construct,DASH-ONLY,ACTIVE,,
PC-GMO-001,Red-flag screening documented for undifferentiated MSK and headache presentations,ClinicalCare,PrimaryCare-GMO,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
PC-GMO-002,Return-to-duty/limited-duty determination documented with functional rationale,ClinicalCare,PrimaryCare-GMO,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
PC-GMO-003,Appropriate escalation/referral threshold applied for presentations beyond GMO scope,ConsultsReferrals,PrimaryCare-GMO,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
EM-001,Time-critical diagnoses (ACS/PE/sepsis/torsion) considered and dispositioned appropriately where indicated,ClinicalCare,EmergencyMedicine,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
EM-002,Discharge/disposition includes documented return precautions and follow-up plan,Documentation,EmergencyMedicine,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
ORTHO-001,Neurovascular status documented pre/post intervention for extremity injuries,ClinicalCare,Orthopedics,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
ORTHO-002,Operative/procedural indication documented against conservative-management trial where applicable,ClinicalCare,Orthopedics,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
MH-001,Suicide/violence risk screening and safety planning documented per encounter type,ClinicalCare,MentalHealth,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
MH-002,Medication management includes documented informed consent and monitoring plan where applicable,MedicationUse,MentalHealth,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
PT-001,Objective functional measures recorded at evaluation and re-assessment intervals,Documentation,PhysicalTherapy,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
PT-002,Plan of care includes measurable goals tied to duty requirements,Documentation,PhysicalTherapy,DRAFT - pending Clinical Leader validation,OPPE-V;DASH-ONLY,DRAFT-VALIDATE,,
